track_id,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
1,125,B,Major,80,89,83,31,0,8,4
2,92,C#,Major,71,61,74,7,0,10,4
3,138,F,Major,51,32,53,17,0,31,6
4,170,A,Major,55,58,72,11,0,11,15
5,144,A,Minor,65,23,80,14,63,11,6
6,141,C#,Major,92,66,58,19,0,8,24
7,148,F,Minor,67,83,76,48,0,8,3
8,100,F,Major,67,26,71,37,0,11,4
9,130,C#,Minor,85,22,62,12,0,28,9
10,170,D,Minor,81,56,48,21,0,8,33
11,83,F#,Minor,57,56,72,23,0,27,5
12,150,F,Minor,78,52,82,18,0,15,7
13,118,,Major,71,65,68,6,0,3,7
14,130,D,Minor,51,32,43,83,0,9,3
15,174,F#,Minor,52,66,73,34,0,31,6
16,89,G#,Major,64,43,73,5,17,16,4
17,120,B,Minor,78,76,59,43,0,34,3
18,78,,Major,44,14,9,96,0,10,3
19,100,B,Major,86,67,66,14,0,12,16
20,120,G,Major,63,36,73,0,0,36,4
21,140,F,Minor,65,87,74,22,0,42,4
22,123,F#,Major,69,82,76,6,0,6,3
23,135,,Minor,48,44,42,12,2,11,3
24,133,F,Minor,85,81,67,26,0,12,5
25,99,C#,Major,85,83,68,7,0,36,20
26,130,G,Minor,79,96,86,9,0,9,9
27,107,B,Major,80,82,80,43,0,14,4
28,122,F#,Minor,81,74,71,14,0,56,4
29,204,F#,Major,52,52,68,46,0,15,4
30,110,B,Minor,67,78,85,2,0,33,5
31,126,F,Minor,74,35,84,0,0,11,6
32,168,F#,Major,56,63,87,39,0,11,5
33,98,C#,Minor,71,17,61,36,0,8,5
34,97,E,Major,64,51,63,12,0,19,5
35,180,E,Minor,72,61,63,67,0,9,28
36,120,,Major,81,63,68,11,0,11,4
37,150,F#,Major,61,39,73,37,0,11,3
38,96,F,Major,75,57,68,9,0,13,6
39,95,D,Major,60,48,79,0,0,12,4
40,125,F,Minor,79,96,85,27,0,11,6
41,144,A,Minor,56,84,65,23,0,10,6
42,90,D,Major,76,91,50,54,0,7,5
43,128,G,Minor,56,38,97,4,0,35,4
44,79,F#,Major,56,58,56,37,0,11,10
45,144,,Major,77,75,58,52,0,23,25
46,122,F,Major,67,49,64,10,0,10,3
47,140,,Major,71,82,81,11,0,6,5
48,134,C#,Minor,59,51,52,9,0,15,7
49,186,G,Major,68,49,59,16,0,13,28
50,67,C#,Minor,53,50,53,23,0,44,7
51,106,A#,Minor,72,17,64,7,0,10,5
52,128,G,Major,60,23,91,0,0,12,3
53,107,F#,Minor,92,55,70,18,0,15,7
54,130,G,Minor,67,96,88,12,19,8,4
55,123,E,Minor,45,13,54,70,0,9,4
56,171,C#,Major,50,38,80,0,0,9,7
57,137,G,Minor,64,88,72,51,0,17,5
58,125,G,Minor,84,85,68,58,0,22,4
59,128,,Minor,86,42,72,59,0,9,19
60,130,,Minor,61,53,58,55,0,27,4
61,130,B,Major,86,59,96,50,1,9,5
62,133,F,Major,70,86,81,25,0,25,5
63,101,D,Major,88,72,59,62,0,9,3
64,95,F,Minor,77,53,64,74,0,17,14
65,98,C#,Minor,90,40,59,0,0,10,29
66,173,B,Major,43,28,66,0,0,23,3
67,90,G#,Major,64,10,62,7,0,48,7
68,198,A#,Minor,59,71,42,55,0,10,7
69,140,C#,Major,56,48,73,0,0,35,4
70,82,G#,Major,51,22,53,1,0,15,3
71,130,C#,Minor,77,84,89,17,0,43,5
72,81,B,Major,76,53,53,44,0,9,9
73,94,C#,Minor,51,14,59,65,18,25,3
74,124,A#,Major,61,41,81,5,2,10,3
75,128,D,Major,62,55,78,1,3,23,4
76,138,F,Minor,49,42,62,9,0,11,3
77,132,E,Major,58,27,48,50,0,12,3
78,131,D,Major,71,24,47,1,0,27,9
79,168,F#,Minor,78,58,73,5,0,10,7
80,98,C#,Major,68,40,79,33,0,30,6
81,102,C#,Major,48,50,73,43,0,15,4
82,101,A#,Major,34,32,57,78,0,20,3
83,130,F,Major,63,36,34,76,0,35,9
84,142,D,Major,50,20,64,1,0,12,3
85,170,C#,Major,59,48,76,4,0,10,5
86,124,G#,Minor,78,70,68,3,1,11,4
87,110,C#,Major,50,45,41,75,0,11,3
88,92,C#,Minor,91,43,71,9,0,9,8
89,116,D,Major,82,40,66,39,51,25,7
90,129,A,Major,63,84,82,70,8,9,7
91,98,G#,Major,71,67,60,19,0,12,3
92,172,C#,Minor,74,76,76,6,0,10,9
93,150,D,Major,68,14,76,4,0,10,4
94,136,A,Minor,62,19,53,11,0,6,4
95,88,C#,Minor,53,34,47,9,0,83,4
96,143,D#,Major,83,69,44,15,0,10,33
97,100,F#,Minor,49,17,35,71,9,11,3
98,143,F,Major,56,39,55,14,0,11,13
99,112,C#,Minor,56,24,66,7,0,12,3
100,93,G,Major,62,57,59,3,0,38,3
101,206,G,Major,43,50,55,50,0,15,10
102,88,G,Minor,68,17,71,15,0,11,5
103,170,D,Major,50,37,90,0,0,12,5
104,84,E,Minor,62,24,67,21,0,13,28
105,134,E,Minor,81,53,72,51,0,12,5
106,158,A#,Major,54,50,40,61,0,10,6
107,116,C#,Major,80,92,80,4,0,10,3
108,117,C#,Major,61,45,69,2,0,9,3
109,114,F,Minor,77,65,72,2,0,7,5
110,108,D,Minor,61,47,68,0,0,13,3
111,144,E,Minor,74,37,53,7,0,21,10
112,130,F,Major,51,18,44,76,0,11,3
113,116,B,Major,77,79,62,33,1,15,3
114,121,G,Major,65,49,78,0,0,17,4
115,112,G,Major,64,54,81,36,0,11,6
116,100,A#,Minor,70,47,52,30,0,6,33
117,150,D#,Minor,55,30,78,24,0,12,8
118,120,F,Minor,84,96,71,18,0,34,17
