track_id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
1,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826
2,LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382
3,vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949
4,Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548
5,WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425
6,Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946
7,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418
8,Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194
9,fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953
10,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339
11,un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251
12,Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,168
13,Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021"
14,Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281"
15,As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,
16,Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187
17,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,0
18,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,80,227,95,24,"1,173"
19,Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,54,14,187
20,Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,23,2,29
21,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,0
22,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,150
23,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,73
24,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,139
25,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,"1,093"
26,SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,16,149,10,5,168
27,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,318,38,96
28,MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,211
29,Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325
30,Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,0
31,Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294
32,TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,197
33,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,27
34,Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310
35,TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354
36,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184
37,Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212
38,Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81
39,Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82
40,TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100
41,El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62
